City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Leshukonskoye,RU,64.9,45.76,31.03,98,34,6.31,scattered clouds
274,Banjar,ID,-8.19,114.97,80.49,71,100,5.01,overcast clouds
275,Takaka,NZ,-40.85,172.8,60.01,93,77,15.99,broken clouds
276,Karachi,PK,24.91,67.08,75.2,44,0,3.36,smoke
277,Kayes,ML,14.0,-11.0,74.84,26,62,2.93,broken clouds
278,Floro,NO,61.6,5.03,44.6,87,70,11.41,broken clouds
279,San Luis,AR,-33.3,-66.34,60.94,33,0,11.63,clear sky
280,Saskylakh,RU,71.92,114.08,-1.62,83,2,5.39,clear sky
281,Winona,US,43.97,-91.77,34.0,80,75,4.7,broken clouds
282,Labrea,BR,-7.26,-64.8,72.82,96,100,2.64,overcast clouds
283,Point Fortin,TT,10.18,-61.68,77.0,94,68,11.21,broken clouds
284,Valdivia,CL,-39.81,-73.25,48.2,100,0,1.12,clear sky
285,Saiha,IN,22.48,92.97,77.43,90,61,2.21,broken clouds
286,Sulangan,PH,11.14,123.72,83.5,73,100,10.29,overcast clouds
287,Trairi,BR,-3.28,-39.27,79.38,80,39,9.89,scattered clouds
288,Tabas,IR,33.6,56.92,57.2,24,0,2.24,clear sky
289,George,ZA,-33.96,22.46,50.0,87,0,4.7,clear sky
290,Hua Hin,TH,12.57,99.96,80.6,94,40,2.24,scattered clouds
291,Mandalgovi,MN,45.76,106.27,32.76,69,99,19.77,overcast clouds
292,Ust-Tsilma,RU,65.44,52.15,33.73,91,60,8.34,broken clouds
293,Beringovskiy,RU,63.05,179.32,21.7,89,62,13.11,broken clouds
294,Redlands,US,34.06,-117.18,68.0,28,5,2.82,clear sky
295,Saint-Philippe,RE,-21.36,55.77,71.6,53,75,18.34,broken clouds
296,Tuktoyaktuk,CA,69.45,-133.04,1.4,91,75,4.7,broken clouds
297,Ubinskoye,RU,55.31,79.68,34.14,97,99,6.98,overcast clouds
298,Tual,ID,-5.67,132.75,84.04,69,6,11.56,clear sky
299,Aksarayskiy,RU,46.79,48.01,51.8,62,75,6.71,broken clouds
300,Porangatu,BR,-13.44,-49.15,72.68,93,100,2.33,moderate rain
301,Ereymentau,KZ,51.62,73.1,35.44,84,17,5.93,few clouds
302,Arroyos Y Esteros,PY,-25.07,-57.1,66.2,48,0,11.41,clear sky
303,Nguru,NG,12.88,10.45,75.43,21,0,9.53,clear sky
304,Durango,MX,24.83,-104.83,52.0,51,55,1.3,broken clouds
305,Sao Francisco,BR,-15.95,-44.86,71.8,89,100,5.23,light rain
306,Kautokeino,NO,69.01,23.04,18.72,93,1,17.2,clear sky
307,Aberdeen,GB,57.14,-2.1,48.99,93,100,4.7,light rain
308,Havelock,US,34.88,-76.9,57.0,62,1,12.75,clear sky
309,Bandarbeyla,SO,9.49,50.81,78.98,75,42,12.08,scattered clouds
310,Birao,CF,10.28,22.79,73.13,57,64,2.66,broken clouds
311,Ukiah,US,39.15,-123.21,59.0,41,1,2.53,clear sky
312,Makakilo City,US,21.35,-158.09,80.6,74,40,11.41,scattered clouds
313,Nelson Bay,AU,-32.72,152.15,82.4,28,24,17.22,light rain
314,Abu Samrah,SY,35.3,37.18,67.19,52,98,0.85,overcast clouds
315,Road Town,VG,18.42,-64.62,82.99,85,90,11.99,overcast clouds
316,Mareeba,AU,-17.0,145.43,91.0,50,6,10.0,clear sky
317,Islamkot,PK,24.7,70.18,87.46,13,26,7.96,scattered clouds
318,Arraial Do Cabo,BR,-22.97,-42.03,71.19,80,100,14.09,overcast clouds
319,Nanortalik,GL,60.14,-45.24,27.18,92,86,10.76,overcast clouds
320,Shiraz,IR,29.6,52.54,50.0,31,0,2.19,clear sky
321,Kodinsk,RU,58.69,99.18,16.5,91,99,6.15,overcast clouds
322,Tshela,CD,-4.98,12.93,72.68,95,100,0.54,overcast clouds
323,San Policarpo,PH,12.18,125.51,82.62,82,100,14.54,overcast clouds
324,Manggar,ID,-2.88,108.27,86.77,64,71,2.55,light rain
325,Waipawa,NZ,-41.41,175.52,64.4,88,98,27.51,overcast clouds
326,Pokhara,NP,28.23,83.98,85.57,17,72,4.09,broken clouds
327,Eastleigh,GB,50.97,-1.35,55.99,1,91,18.32,overcast clouds
328,Atar,MR,20.52,-13.05,80.82,17,81,8.1,broken clouds
329,Angra Dos Reis,BR,-23.01,-44.32,66.2,93,75,5.82,mist
330,Ayan,RU,56.45,138.17,31.21,88,58,2.86,broken clouds
331,Sinazongwe,ZM,-17.26,27.46,81.16,41,0,6.69,clear sky
332,Taoudenni,ML,22.68,-3.98,71.37,28,75,10.96,broken clouds
333,Mangrol,IN,21.12,70.12,86.13,38,0,6.82,clear sky
334,Gdov,RU,58.74,27.81,43.05,93,45,5.41,scattered clouds
335,Olafsvik,IS,64.89,-23.71,40.01,85,74,6.64,broken clouds
336,Roxana,CR,10.28,-83.75,68.0,100,90,4.7,fog
337,Palmer,US,42.16,-72.33,25.0,92,1,1.88,clear sky
338,Gat,IL,31.61,34.76,72.0,100,70,5.61,broken clouds
339,Medicine Hat,CA,50.05,-110.67,46.4,70,90,6.93,overcast clouds
340,Ilulissat,GL,69.22,-51.1,19.4,73,98,2.24,overcast clouds
341,Ende,ID,-8.84,121.66,86.9,63,35,4.41,light rain
342,Ron Phibun,TH,8.18,99.85,87.8,74,40,6.93,scattered clouds
343,Djibo,BF,14.1,-1.63,77.72,18,0,6.33,clear sky
344,Vila Velha,BR,-20.33,-40.29,75.2,94,90,6.93,overcast clouds
345,Whitehorse,CA,60.72,-135.05,17.6,85,90,6.93,light snow
346,Papillion,US,41.15,-96.04,46.99,65,1,6.93,clear sky
347,Dingle,PH,11.0,122.67,85.55,73,100,12.48,overcast clouds
348,Lata,PT,40.16,-8.33,61.0,93,0,2.24,clear sky
349,Gharo,PK,24.74,67.59,75.2,44,0,3.36,smoke
350,Yeppoon,AU,-23.13,150.73,91.4,38,40,13.87,scattered clouds
351,Providencia,MX,28.72,-111.58,68.0,61,100,4.81,overcast clouds
352,Baykit,RU,61.67,96.37,11.12,89,0,0.34,clear sky
353,Opuwo,NA,-18.06,13.84,68.63,57,6,4.47,clear sky
354,Yerbogachen,RU,61.28,108.01,12.33,92,100,6.64,overcast clouds
355,Constitucion,CL,-35.33,-72.42,56.3,72,0,4.83,clear sky
356,Poltavka,RU,54.37,71.76,33.89,88,27,8.08,scattered clouds
357,Hami,CN,42.8,93.45,47.84,44,0,3.85,clear sky
358,Uberaba,BR,-19.75,-47.93,65.98,94,61,4.85,broken clouds
359,Havre-Saint-Pierre,CA,50.23,-63.6,17.6,78,0,4.7,clear sky
360,Vostok,RU,46.49,135.88,37.9,89,99,4.23,overcast clouds
